Epoch [10/100], Training Loss: 0.6673, Training Accuracy: 57.27%, Validation Accuracy: 56.03%
Epoch [300/500], Training Loss: 0.0254, Training Accuracy: 98.95%, Validation Accuracy: 73.28%
Epoch [310/500], Training Loss: 0.0251, Training Accuracy: 98.76%, Validation Accuracy: 72.41%
Epoch [320/500], Training Loss: 0.0199, Training Accuracy: 99.04%, Validation Accuracy: 75.86%
Epoch [330/500], Training Loss: 0.0307, Training Accuracy: 98.85%, Validation Accuracy: 73.28%
Epoch [340/500], Training Loss: 0.0236, Training Accuracy: 99.04%, Validation Accuracy: 73.28%
Epoch [350/500], Training Loss: 0.0299, Training Accuracy: 98.95%, Validation Accuracy: 75.86%
Epoch [360/500], Training Loss: 0.0212, Training Accuracy: 99.14%, Validation Accuracy: 75.86%
Epoch [370/500], Training Loss: 0.0343, Training Accuracy: 99.14%, Validation Accuracy: 75.86%
Epoch [380/500], Training Loss: 0.0186, Training Accuracy: 99.52%, Validation Accuracy: 78.45%
Epoch [390/500], Training Loss: 0.0141, Training Accuracy: 99.33%, Validation Accuracy: 78.45%
Epoch [400/500], Training Loss: 0.0151, Training Accuracy: 99.33%, Validation Accuracy: 77.59%
Epoch [410/500], Training Loss: 0.0426, Training Accuracy: 98.28%, Validation Accuracy: 72.41%
Epoch [420/500], Training Loss: 0.0273, Training Accuracy: 98.57%, Validation Accuracy: 75.00%
Epoch [430/500], Training Loss: 0.0196, Training Accuracy: 99.04%, Validation Accuracy: 76.72%
Epoch [440/500], Training Loss: 0.0188, Training Accuracy: 99.14%, Validation Accuracy: 75.00%
Epoch [450/500], Training Loss: 0.0252, Training Accuracy: 99.14%, Validation Accuracy: 75.00%
Epoch [460/500], Training Loss: 0.0461, Training Accuracy: 98.37%, Validation Accuracy: 77.59%
Epoch [470/500], Training Loss: 0.0209, Training Accuracy: 99.04%, Validation Accuracy: 78.45%
Epoch [480/500], Training Loss: 0.0147, Training Accuracy: 99.33%, Validation Accuracy: 77.59%
Epoch [490/500], Training Loss: 0.0185, Training Accuracy: 99.24%, Validation Accuracy: 78.45%
Epoch [500/500], Training Loss: 0.0103, Training Accuracy: 99.43%, Validation Accuracy: 78.45%
